Color,Click Count: Day 1,View Count: Day 1,Click Count: Day 2,View Count: Day 2,Click Count: Day 3,View Count: Day 3,Click Count: Day 4,View Count: Day 4,Click Count: Day 5,View Count: Day 5,Click Count: Day 6,View Count: Day 6,Click Count: Day 7,View Count: Day 7,Click Count: Day 8,View Count: Day 8,Click Count: Day 9,View Count: Day 9,Click Count: Day 10,View Count: Day 10,Click Count: Day 11,View Count: Day 11,Click Count: Day 12,View Count: Day 12,Click Count: Day 13,View Count: Day 13,Click Count: Day 14,View Count: Day 14,Click Count: Day 15,View Count: Day 15,Click Count: Day 16,View Count: Day 16,Click Count: Day 17,View Count: Day 17,Click Count: Day 18,View Count: Day 18,Click Count: Day 19,View Count: Day 19,Click Count: Day 20,View Count: Day 20
Pink,24,100,23,100,25,100,26,100,25,100,24,100,23,100,22,100,24,100,25,100,27,100,26,100,24,100,23,100,22,100,24,100,26,100,27,100,25,100,24,100
Gray,19,100,18,100,20,100,21,100,19,100,18,100,20,100,21,100,19,100,18,100,20,100,21,100,19,100,18,100,20,100,21,100,19,100,18,100,20,100,21,100
Sapphire,28,100,26,100,29,100,31,100,30,100,32,100,33,100,35,100,37,100,38,100,39,100,41,100,43,100,44,100,45,100,46,100,47,100,48,100,49,100,50,100
Purple,22,100,21,100,23,100,24,100,25,100,24,100,23,100,22,100,21,100,20,100,19,100,18,100,20,100,22,100,24,100,26,100,28,100,30,100,32,100,34,100
Coral,27,100,28,100,26,100,24,100,25,100,27,100,28,100,26,100,24,100,25,100,27,100,28,100,26,100,24,100,25,100,27,100,28,100,26,100,24,100,25,100
Olive,21,100,20,100,19,100,21,100,22,100,20,100,19,100,21,100,22,100,20,100,19,100,21,100,22,100,20,100,19,100,21,100,22,100,20,100,19,100,21,100
Navy,30,100,31,100,29,100,27,100,28,100,30,100,31,100,29,100,27,100,28,100,30,100,31,100,29,100,27,100,28,100,30,100,31,100,29,100,27,100,28,100
Maroon,23,100,22,100,24,100,25,100,26,100,25,100,24,100,23,100,22,100,21,100,20,100,19,100,18,100,20,100,22,100,24,100,26,100,28,100,30,100,32,100
Teal,29,100,30,100,28,100,26,100,27,100,29,100,30,100,28,100,26,100,27,100,29,100,30,100,28,100,26,100,27,100,29,100,30,100,28,100,26,100,27,100
Cyan,32,100,34,100,35,100,33,100,31,100,30,100,32,100,34,100,35,100,33,100,31,100,30,100,32,100,34,100,35,100,33,100,31,100,30,100,32,100,34,100
Orange,26,100,25,100,27,100,28,100,27,100,26,100,25,100,24,100,26,100,27,100,29,100,28,100,26,100,25,100,24,100,26,100,28,100,29,100,27,100,26,100
Black,18,100,17,100,19,100,20,100,19,100,18,100,17,100,16,100,18,100,19,100,21,100,20,100,18,100,17,100,16,100,18,100,20,100,21,100,19,100,18,100
Tan,23,100,22,100,24,100,25,100,24,100,23,100,22,100,21,100,23,100,24,100,26,100,25,100,23,100,22,100,21,100,23,100,25,100,26,100,24,100,23,100
Red,28,100,29,100,27,100,26,100,27,100,28,100,29,100,30,100,28,100,27,100,29,100,30,100,28,100,27,100,26,100,28,100,29,100,30,100,28,100,27,100
Brown,25,100,24,100,26,100,27,100,26,100,25,100,24,100,23,100,25,100,26,100,28,100,27,100,25,100,24,100,23,100,25,100,27,100,28,100,26,100,25,100
Turquoise,31,100,30,100,32,100,33,100,32,100,31,100,30,100,29,100,31,100,32,100,34,100,33,100,31,100,30,100,29,100,31,100,32,100,34,100,33,100,31,100
Indigo,27,100,28,100,26,100,25,100,26,100,28,100,29,100,30,100,28,100,27,100,29,100,30,100,28,100,26,100,25,100,27,100,29,100,30,100,28,100,27,100
Gold,33,100,34,100,35,100,33,100,31,100,30,100,32,100,34,100,35,100,33,100,31,100,30,100,32,100,34,100,35,100,33,100,31,100,30,100,32,100,34,100
Jade,29,100,28,100,30,100,31,100,30,100,29,100,28,100,27,100,29,100,30,100,32,100,31,100,29,100,28,100,27,100,29,100,30,100,32,100,31,100,29,100
Blue,49,100,24,100,26,100,31,100,33,100,32,100,25,100,28,100,30,100,32,100,33,100,31,100,29,100,24,100,26,100,32,100,33,100,31,100,30,100,28,100
Ultramarine,35,100,36,100,34,100,32,100,35,100,37,100,39,100,40,100,38,100,37,100,35,100,33,100,36,100,38,100,39,100,37,100,35,100,34,100,36,100,38,100
Yellow,28,100,29,100,30,100,28,100,27,100,26,100,29,100,31,100,32,100,30,100,28,100,27,100,29,100,31,100,32,100,30,100,28,100,27,100,29,100,31,100
Viridian,31,100,32,100,30,100,28,100,31,100,33,100,35,100,36,100,34,100,33,100,31,100,29,100,32,100,34,100,35,100,33,100,31,100,30,100,32,100,34,100
Violet,33,100,34,100,35,100,33,100,32,100,31,100,34,100,36,100,37,100,35,100,33,100,32,100,34,100,36,100,37,100,35,100,33,100,32,100,34,100,36,100
Green,30,100,31,100,32,100,30,100,29,100,28,100,31,100,33,100,34,100,32,100,30,100,29,100,31,100,33,100,34,100,32,100,30,100,29,100,31,100,33,100
Aquamarine,34,100,35,100,36,100,34,100,33,100,32,100,35,100,37,100,38,100,36,100,34,100,33,100,35,100,37,100,38,100,36,100,34,100,33,100,35,100,37,100
Magenta,32,100,33,100,34,100,32,100,31,100,30,100,33,100,35,100,36,100,34,100,32,100,31,100,33,100,35,100,36,100,34,100,32,100,31,100,33,100,35,100
Silver,29,100,30,100,31,100,29,100,28,100,27,100,30,100,32,100,33,100,31,100,29,100,28,100,30,100,32,100,33,100,31,100,29,100,28,100,30,100,32,100
Bronze,27,100,28,100,29,100,27,100,26,100,25,100,28,100,30,100,31,100,29,100,27,100,26,100,28,100,30,100,31,100,29,100,27,100,26,100,28,100,30,100
Lime,26,100,27,100,28,100,26,100,25,100,24,100,27,100,29,100,30,100,28,100,26,100,25,100,27,100,29,100,30,100,28,100,26,100,25,100,27,100,29,100
